CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
1082,99.6,33.2,83.14,18700,-2.81,16.33,0.3,5.8
990.3,99.4,26.64,86.93,18750,-3.07,15.8,0.5,6.2
931.3,99.1,24.31,87.71,18800,-3.46,15.36,0.8,6.9
975.95,98.8,34.63,78.32,18850,-3.52,14.53,1.1,6.65
840,98.3,23.53,85.58,18900,-4.25,14.33,1.6,8.15
1029.5,97.6,46.52,70.24,18950,-5.02,14.05,2.3,9.7
732.8,96.7,20.49,85.49,19000,-5.78,13.65,3.2,11.1
705,95.6,22.18,81.81,19050,-6.54,13.16,4.3,12.35
647.3,94.2,20.17,82.03,19100,-7.63,12.79,5.7,14.4
601.55,92.4,19.54,80.63,19150,-8.8,12.34,7.5,16.45
542,90.3,17.34,81.04,19200,-10.46,12.04,9.6,19.75
504.55,87.7,17.55,78.21,19250,-12.3,11.67,12.2,23.3
452.95,84.7,16.2,77.2,19300,-14.74,11.42,15.2,28.5
408,81.3,15.47,75.11,19350,-17.61,11.17,18.6,34.85
365.65,77.5,14.92,72.49,19400,-20.88,10.89,22.4,42.2
325.3,73.3,14.45,69.45,19450,-26.42,11.56,26.7,61
286.1,68.7,13.96,66.07,19500,-29.2,10.44,31.2,62.95
251.2,63.8,13.69,62.14,19550,-34.16,10.2,36.1,76.35
216.4,58.6,13.28,57.99,19600,-39.6,9.91,41.3,91.5
184.05,53.4,12.9,53.49,19650,-45.62,9.75,46.5,111
157,48.1,12.75,48.72,19700,-51.93,9.65,51.8,134.45
131,42.8,12.5,43.81,19750,-58.57,9.26,57.1,157.3
108.2,37.7,12.3,38.86,19800,-65.45,8.9,62.2,184.2
95.45,32.8,12.72,34.73,19850,-72.31,8.56,67.1,214.95
72,28.2,12.06,29.41,19900,-79.71,7.94,71.7,246.9
62.95,23.9,12.46,25.95,19950,-86.86,7.25,76,283.2
47.3,20,12.05,21.39,20000,-95.84,5.57,79.9,320.75
36.4,16.6,11.89,17.59,20050,0,0,83.3,361.2
29.7,13.5,12.04,14.81,20100,0,0,86.4,404
21.75,10.9,11.81,11.66,20150,0,0,89,446.3
19.45,8.6,12.3,10.28,20200,0,0,91.3,491.4
15.15,6.8,12.33,8.33,20250,0,0,93.1,540.85
13,5.2,12.67,7.16,20300,0,0,94.7,583.5
11.1,4,12.97,6.13,20350,0,0,95.9,533.4
9.05,3,13.14,5.09,20400,0,0,96.9,673.65
8,2.2,13.52,4.46,20450,0,0,97.7,600
6.8,1.6,13.79,3.81,20500,0,0,98.3,777.05
6.15,1.1,14.2,3.4,20550,0,0,98.8,815.7
5.6,0.8,14.62,3.06,20600,0,0,99.1,879.6
5.15,0.5,15.04,2.77,20650,0,0,99.4,765
